OpnameDatum;StandNormaal;StandDal;TerugleveringNormaal;TerugleveringDal
2022-12-31;6820;7320;2010;847
2022-12-30;6806;7313;2010;847
2022-12-29;6791;7306;2009;847
2022-12-28;6775;7298;2009;847
2022-12-27;6759;7290;2008;847
2022-12-26;6759;7266;2008;846
2022-12-25;6759;7246;2008;846
2022-12-24;6759;7228;2008;846
2022-12-23;6748;7223;2008;846
2022-12-22;6739;7218;2006;846
2022-12-21;6731;7214;2004;846
2022-12-20;6722;7208;2004;846
2022-12-19;6710;7201;2004;846
2022-12-18;6710;7172;2004;846
2022-12-17;6710;7149;2004;846
2022-12-16;6694;7141;2004;846
2022-12-15;6671;7125;2003;846
2022-12-14;6637;7105;2003;846
2022-12-13;6606;7085;2002;846
2022-12-12;6578;7070;2002;846
2022-12-11;6578;7025;2002;846
2022-12-10;6578;6978;2002;846
2022-12-09;6551;6964;2002;846
2022-12-08;6531;6955;2001;846
2022-12-07;6516;6947;2001;846
2022-12-06;6501;6939;2000;846
2022-12-05;6485;6932;2000;846
2022-12-04;6485;6900;2000;846
2022-12-03;6485;6872;2000;846
2022-12-02;6465;6864;2000;846
2022-12-01;6450;6857;2000;846
2022-11-30;6434;6849;2000;846
2022-11-29;6418;6842;2000;846
2022-11-28;6401;6834;2000;846
2022-11-27;6401;6811;2000;846
2022-11-26;6401;6788;2000;846
2022-11-25;6389;6780;1998;846
2022-11-24;6377;6772;1996;846
2022-11-23;6363;6766;1993;846
2022-11-23;6363;6766;1993;846
2022-11-22;6349;6757;1993;846
2022-11-21;6327;6748;1992;846
2022-11-20;6327;6721;1992;845
2022-11-19;6327;6696;1992;841
2022-11-18;6310;6688;1992;841
2022-11-17;6294;6681;1992;841
2022-11-16;6281;6676;1989;841
2022-11-15;6272;6671;1987;841
2022-11-14;6262;6666;1983;841
2022-11-13;6262;6651;1983;836
2022-11-12;6262;6637;1983;833
2022-11-11;6253;6632;1983;833
2022-11-10;6245;6628;1981;833
2022-11-09;6236;6623;1979;833
2022-11-08;6226;6619;1977;833
2022-11-07;6217;6614;1976;833
2022-11-06;6217;6597;1976;832
2022-11-05;6217;6582;1976;828
2022-11-04;6209;6578;1971;828
2022-11-03;6202;6573;1968;828
2022-11-02;6195;6569;1960;828
2022-11-01;6189;6565;1954;828
2022-10-31;6182;6560;1952;828
2022-10-30;6182;6549;1952;823
2022-10-29;6182;6540;1952;819
2022-10-28;6176;6536;1949;819
2022-10-27;6168;6532;1944;819
2022-10-26;6162;6528;1937;819
2022-10-25;6155;6524;1932;819
2022-10-24;6149;6519;1929;819
2022-10-23;6149;6505;1929;818
2022-10-22;6149;6494;1929;814
2022-10-21;6141;6489;1926;814
2022-10-20;6132;6484;1924;814
2022-10-19;6125;6479;1919;814
2022-10-18;6120;6475;1910;814
2022-10-17;6110;6469;1910;814
