Date,Autoverwarmen,Continuuwerking,Stooklijn,Adjust,AtHome,Hal,Kinderspeel
2022-09-18 12:00:00,1,0,30,0,1,1,1
2022-10-06 12:00:00,1,0,30,-2,1,1,1
2022-10-16 12:00:00,1,0,30,-4,1,1,1
2022-11-12 12:00:00,1,0,30,-3,1,1,1
2022-11-14 12:00:00,1,0,30,-2,1,1,1
2022-11-15 08:00:00,1,0,30,0,1,1,1
2022-11-15 22:00:00,1,0,30,2,1,1,1
2022-11-17 12:00:00,0,1,30,2,1,1,1
2022-11-17 22:00:00,0,1,30,4,1,1,1
2022-11-22 12:00:00,0,1,35,0,1,1,1
2022-11-23 09:00:00,0,1,35,4,1,1,1
2022-11-24 20:00:00,0,1,35,2,1,1,1
2022-12-10 13:09:00,0,1,37,2,1,1,1
2022-12-16 08:00:00,0,1,37,-2,0,1,1
2022-12-23 16:00:00,0,1,37,-0.5,0,1,1
2022-12-24 16:00:00,0,1,37,0.5,0,1,1
2022-12-25 12:00:00,0,1,37,1,0,1,1
2022-12-25 19:30:00,0,1,37,1,1,1,1
2023-01-24 17:00:00,0,1,37,3,1,1,1
2023-01-26 15:45:00,0,1,37,2,1,1,1
2023-01-28 15:00:00,0,1,37,1,1,1,1
2023-01-30 11:00:00,0,1,37,2,1,1,1
2023-02-02 15:00:00,0,1,37,2,1,0,1
2023-02-07 15:00:00,0,1,37,2,1,0,0
