Time,System Production (Wh)
10/01/2022,"11677"
10/02/2022,"15781"
10/03/2022,"12850"
10/04/2022,"17256"
10/05/2022,"4905"
10/06/2022,"19345"
10/07/2022,"9837"
10/08/2022,"13264"
10/09/2022,"17894"
10/10/2022,"7017"
10/11/2022,"10924"
10/12/2022,"16116"
10/13/2022,"2825"
10/14/2022,"2227"
10/15/2022,"3343"
10/16/2022,"13201"
10/17/2022,"1975"
10/18/2022,"13792"
10/19/2022,"8390"
10/20/2022,"5105"
10/21/2022,"5318"
10/22/2022,"6530"
10/23/2022,"4422"
10/24/2022,"5353"
10/25/2022,"8621"
10/26/2022,"9021"
10/27/2022,"7662"
10/28/2022,"5349"
10/29/2022,"6219"
10/30/2022,"7263"
10/31/2022,"5489"
