Time,System Production (W)
01/02/2023 00:00,"0"
01/02/2023 00:15,"0"
01/02/2023 00:30,"0"
01/02/2023 00:45,"0"
01/02/2023 01:00,"0"
01/02/2023 01:15,"0"
01/02/2023 01:30,"0"
01/02/2023 01:45,"0"
01/02/2023 02:00,"0"
01/02/2023 02:15,"0"
01/02/2023 02:30,"0"
01/02/2023 02:45,"0"
01/02/2023 03:00,"0"
01/02/2023 03:15,"0"
01/02/2023 03:30,"0"
01/02/2023 03:45,"0"
01/02/2023 04:00,"0"
01/02/2023 04:15,"0"
01/02/2023 04:30,"0"
01/02/2023 04:45,"0"
01/02/2023 05:00,"0"
01/02/2023 05:15,"0"
01/02/2023 05:30,"0"
01/02/2023 05:45,"0"
01/02/2023 06:00,"0"
01/02/2023 06:15,"0"
01/02/2023 06:30,"0"
01/02/2023 06:45,"0"
01/02/2023 07:00,"0"
01/02/2023 07:15,"0"
01/02/2023 07:30,"0"
01/02/2023 07:45,"0"
01/02/2023 08:00,"0"
01/02/2023 08:15,"0"
01/02/2023 08:30,"0"
01/02/2023 08:45,"0"
01/02/2023 09:00,"0"
01/02/2023 09:15,"0.2117"
01/02/2023 09:30,"8.7738"
01/02/2023 09:45,"15.7538"
01/02/2023 10:00,"28.1808"
01/02/2023 10:15,"22.1795"
01/02/2023 10:30,"85.8615"
01/02/2023 10:45,"137.9056"
01/02/2023 11:00,"257.1348"
01/02/2023 11:15,"200.9373"
01/02/2023 11:30,"148.6396"
01/02/2023 11:45,"180.0485"
01/02/2023 12:00,"108.4345"
01/02/2023 12:15,"344.4176"
01/02/2023 12:30,"460.7174"
01/02/2023 12:45,"335.2642"
01/02/2023 13:00,"498.2664"
01/02/2023 13:15,"542.7596"
01/02/2023 13:30,"112.6252"
01/02/2023 13:45,"225.1338"
01/02/2023 14:00,"35.3771"
01/02/2023 14:15,"91.4086"
01/02/2023 14:30,"185.6056"
01/02/2023 14:45,"147.5168"
01/02/2023 15:00,"111.4856"
01/02/2023 15:15,"34.6534"
01/02/2023 15:30,"12.2401"
01/02/2023 15:45,"0.2723"
01/02/2023 16:00,"0"
01/02/2023 16:15,"0"
01/02/2023 16:30,"0"
01/02/2023 16:45,"0"
01/02/2023 17:00,"0"
01/02/2023 17:15,"0"
01/02/2023 17:30,"0"
01/02/2023 17:45,"0"
01/02/2023 18:00,"0"
01/02/2023 18:15,"0"
01/02/2023 18:30,"0"
01/02/2023 18:45,"0"
01/02/2023 19:00,"0"
01/02/2023 19:15,"0"
01/02/2023 19:30,"0"
01/02/2023 19:45,"0"
01/02/2023 20:00,"0"
01/02/2023 20:15,"0"
01/02/2023 20:30,"0"
01/02/2023 20:45,"0"
01/02/2023 21:00,"0"
01/02/2023 21:15,"0"
01/02/2023 21:30,"0"
01/02/2023 21:45,"0"
01/02/2023 22:00,"0"
01/02/2023 22:15,"0"
01/02/2023 22:30,"0"
01/02/2023 22:45,"0"
01/02/2023 23:00,"0"
01/02/2023 23:15,"0"
