Time,System Production (W)
04/03/2023 00:00,"0"
04/03/2023 00:15,"0"
04/03/2023 00:30,"0"
04/03/2023 00:45,"0"
04/03/2023 01:00,"0"
04/03/2023 01:15,"0"
04/03/2023 01:30,"0"
04/03/2023 01:45,"0"
04/03/2023 02:00,"0"
04/03/2023 02:15,"0"
04/03/2023 02:30,"0"
04/03/2023 02:45,"0"
04/03/2023 03:00,"0"
04/03/2023 03:15,"0"
04/03/2023 03:30,"0"
04/03/2023 03:45,"0"
04/03/2023 04:00,"0"
04/03/2023 04:15,"0"
04/03/2023 04:30,"0"
04/03/2023 04:45,"0"
04/03/2023 05:00,"0"
04/03/2023 05:15,"0"
04/03/2023 05:30,"0"
04/03/2023 05:45,"0"
04/03/2023 06:00,"0"
04/03/2023 06:15,"0"
04/03/2023 06:30,"0"
04/03/2023 06:45,"0"
04/03/2023 07:00,"0"
04/03/2023 07:15,"9.2926"
04/03/2023 07:30,"33.2103"
04/03/2023 07:45,"65.9107"
04/03/2023 08:00,"92.2547"
04/03/2023 08:15,"118.7187"
04/03/2023 08:30,"133.9172"
04/03/2023 08:45,"153.8683"
04/03/2023 09:00,"169.3325"
04/03/2023 09:15,"179.8813"
04/03/2023 09:30,"190.0524"
04/03/2023 09:45,"222.2893"
04/03/2023 10:00,"374.4102"
04/03/2023 10:15,"493.6617"
04/03/2023 10:30,"742.4603"
04/03/2023 10:45,"1023.8931"
04/03/2023 11:00,"1309.3744"
04/03/2023 11:15,"1604.9814"
04/03/2023 11:30,"1899.6526"
04/03/2023 11:45,"2164.0759"
04/03/2023 12:00,"2414.8237"
04/03/2023 12:15,"2647.1272"
04/03/2023 12:30,"2873.3613"
04/03/2023 12:45,"3066.8416"
04/03/2023 13:00,"3252.0723"
04/03/2023 13:15,"3431.4658"
04/03/2023 13:30,"3574.0405"
04/03/2023 13:45,"3710.9871"
04/03/2023 14:00,"3834.3818"
04/03/2023 14:15,"3928.7585"
04/03/2023 14:30,"3980.147"
04/03/2023 14:45,"4035.5938"
04/03/2023 15:00,"4060.7344"
04/03/2023 15:15,"4095.7512"
04/03/2023 15:30,"4081.397"
04/03/2023 15:45,"4078.8237"
04/03/2023 16:00,"4076.6426"
04/03/2023 16:15,"4045.29"
04/03/2023 16:30,"3953.1028"
04/03/2023 16:45,"3859.082"
04/03/2023 17:00,"3750.7717"
04/03/2023 17:15,"3624.2686"
04/03/2023 17:30,"3452.6479"
04/03/2023 17:45,"3306.4998"
04/03/2023 18:00,"3111.9607"
04/03/2023 18:15,"2793.1055"
04/03/2023 18:30,"2585.1594"
04/03/2023 18:45,"1944.4927"
04/03/2023 19:00,"1355.7274"
04/03/2023 19:15,"680.8323"
04/03/2023 19:30,"195.5055"
04/03/2023 19:45,"38.7025"
04/03/2023 20:00,"1.5349"
04/03/2023 20:15,"0"
04/03/2023 20:30,"0"
04/03/2023 20:45,"0"
04/03/2023 21:00,"0"
04/03/2023 21:15,"0"
04/03/2023 21:30,"0"
04/03/2023 21:45,"0"
04/03/2023 22:00,"0"
04/03/2023 22:15,"0"
04/03/2023 22:30,"0"
04/03/2023 22:45,"0"
04/03/2023 23:00,"0"
04/03/2023 23:15,"0"
04/03/2023 23:30,"0"
04/03/2023 23:45,"0"
04/04/2023 00:00,"0"
04/04/2023 00:15,"0"
04/04/2023 00:30,"0"
04/04/2023 00:45,"0"
04/04/2023 01:00,"0"
04/04/2023 01:15,"0"
04/04/2023 01:30,"0"
04/04/2023 01:45,"0"
04/04/2023 02:00,"0"
04/04/2023 02:15,"0"
04/04/2023 02:30,"0"
04/04/2023 02:45,"0"
04/04/2023 03:00,"0"
04/04/2023 03:15,"0"
04/04/2023 03:30,"0"
04/04/2023 03:45,"0"
04/04/2023 04:00,"0"
04/04/2023 04:15,"0"
04/04/2023 04:30,"0"
04/04/2023 04:45,"0"
04/04/2023 05:00,"0"
04/04/2023 05:15,"0"
04/04/2023 05:30,"0"
04/04/2023 05:45,"0"
04/04/2023 06:00,"0"
04/04/2023 06:15,"0"
04/04/2023 06:30,"0"
04/04/2023 06:45,"0"
04/04/2023 07:00,"3.3786"
04/04/2023 07:15,"50.7946"
04/04/2023 07:30,"98.6397"
04/04/2023 07:45,"65.9919"
04/04/2023 08:00,"95.394"
04/04/2023 08:15,"166.1945"
04/04/2023 08:30,"198.1773"
04/04/2023 08:45,"222.3214"
04/04/2023 09:00,"226.2865"
04/04/2023 09:15,"223.8518"
04/04/2023 09:30,"229.8826"
04/04/2023 09:45,"271.749"
04/04/2023 10:00,"412.3206"
04/04/2023 10:15,"503.8627"
04/04/2023 10:30,"828.4041"
04/04/2023 10:45,"1081.6053"
04/04/2023 11:00,"1376.3232"
04/04/2023 11:15,"1654.4532"
04/04/2023 11:30,"1931.2999"
04/04/2023 11:45,"2035.0803"
04/04/2023 12:00,"2440.7886"
04/04/2023 12:15,"2785.4734"
04/04/2023 12:30,"2700.001"
04/04/2023 12:45,"2318.6501"
04/04/2023 13:00,"2498.8071"
04/04/2023 13:15,"3578.3423"
04/04/2023 13:30,"3349.3142"
04/04/2023 13:45,"3428.7041"
04/04/2023 14:00,"3428.5605"
04/04/2023 14:15,"2771.3081"
04/04/2023 14:30,"3481.3035"
04/04/2023 14:45,"3862.824"
04/04/2023 15:00,"3326.7688"
04/04/2023 15:15,"3128.5847"
04/04/2023 15:30,"2666.9629"
04/04/2023 15:45,"3767.2393"
04/04/2023 16:00,"3381.9275"
04/04/2023 16:15,"3246.5752"
04/04/2023 16:30,"3509.0447"
04/04/2023 16:45,"3162.687"
04/04/2023 17:00,"2344.7678"
04/04/2023 17:15,"2333.3647"
04/04/2023 17:30,"2094.165"
04/04/2023 17:45,"1551.307"
04/04/2023 18:00,"1194.0032"
04/04/2023 18:15,"784.3676"
04/04/2023 18:30,"476.0458"
04/04/2023 18:45,"333.9202"
04/04/2023 19:00,"242.8633"
04/04/2023 19:15,"167.4682"
04/04/2023 19:30,"172.6812"
04/04/2023 19:45,"8.6171"
04/04/2023 20:00,"0"
04/04/2023 20:15,"0"
04/04/2023 20:30,"0"
04/04/2023 20:45,"0"
04/04/2023 21:00,"0"
04/04/2023 21:15,"0"
04/04/2023 21:30,"0"
04/04/2023 21:45,"0"
04/04/2023 22:00,"0"
04/04/2023 22:15,"0"
04/04/2023 22:30,"0"
04/04/2023 22:45,"0"
04/04/2023 23:00,"0"
04/04/2023 23:15,"0"
04/04/2023 23:30,"0"
04/04/2023 23:45,"0"
04/05/2023 00:00,"0"
04/05/2023 00:15,"0"
04/05/2023 00:30,"0"
04/05/2023 00:45,"0"
04/05/2023 01:00,"0"
04/05/2023 01:15,"0"
04/05/2023 01:30,"0"
04/05/2023 01:45,"0"
04/05/2023 02:00,"0"
04/05/2023 02:15,"0"
04/05/2023 02:30,"0"
04/05/2023 02:45,"0"
04/05/2023 03:00,"0"
04/05/2023 03:15,"0"
04/05/2023 03:30,"0"
04/05/2023 03:45,"0"
04/05/2023 04:00,"0"
04/05/2023 04:15,"0"
04/05/2023 04:30,"0"
04/05/2023 04:45,"0"
04/05/2023 05:00,"0"
04/05/2023 05:15,"0"
04/05/2023 05:30,"0"
04/05/2023 05:45,"0"
04/05/2023 06:00,"0"
04/05/2023 06:15,"0"
04/05/2023 06:30,"0"
04/05/2023 06:45,"0"
04/05/2023 07:00,"1.1031"
04/05/2023 07:15,"20.347"
04/05/2023 07:30,"47.8498"
04/05/2023 07:45,"86.3743"
04/05/2023 08:00,"114.6398"
04/05/2023 08:15,"147.4933"
04/05/2023 08:30,"166.466"
04/05/2023 08:45,"188.6093"
04/05/2023 09:00,"216.3165"
04/05/2023 09:15,"239.3418"
04/05/2023 09:30,"259.5121"
04/05/2023 09:45,"316.1415"
04/05/2023 10:00,"427.6628"
04/05/2023 10:15,"584.9883"
04/05/2023 10:30,"823.3348"
04/05/2023 10:45,"1082.4121"
04/05/2023 11:00,"1360.0868"
04/05/2023 11:15,"1630.5336"
04/05/2023 11:30,"1908.5671"
04/05/2023 11:45,"2219.022"
04/05/2023 12:00,"2657.696"
04/05/2023 12:15,"2416.1846"
04/05/2023 12:30,"1906.183"
04/05/2023 12:45,"3603.5923"
04/05/2023 13:00,"2847.387"
04/05/2023 13:15,"2897.7185"
04/05/2023 13:30,"3924.2598"
04/05/2023 13:45,"3630.7976"
04/05/2023 14:00,"2152.1531"
04/05/2023 14:15,"4003.3159"
04/05/2023 14:30,"4009.1956"
04/05/2023 14:45,"4009.8291"
04/05/2023 15:00,"3992.7832"
04/05/2023 15:15,"4012.8462"
04/05/2023 15:30,"4047.3804"
04/05/2023 15:45,"4023.1267"
04/05/2023 16:00,"3974.5649"
04/05/2023 16:15,"3870.0198"
04/05/2023 16:30,"3774.718"
04/05/2023 16:45,"3717.4233"
