Time,System Production (W)
08/22/2022 00:00,"0"
08/22/2022 00:15,"0"
08/22/2022 00:30,"0"
08/22/2022 00:45,"0"
08/22/2022 01:00,"0"
08/22/2022 01:15,"0"
08/22/2022 01:30,"0"
08/22/2022 01:45,"0"
08/22/2022 02:00,"0"
08/22/2022 02:15,"0"
08/22/2022 02:30,"0"
08/22/2022 02:45,"0"
08/22/2022 03:00,"0"
08/22/2022 03:15,"0"
08/22/2022 03:30,"0"
08/22/2022 03:45,"0"
08/22/2022 04:00,"0"
08/22/2022 04:15,"0"
08/22/2022 04:30,"0"
08/22/2022 04:45,"0"
08/22/2022 05:00,"0"
08/22/2022 05:15,"0"
08/22/2022 05:30,"0"
08/22/2022 05:45,"0"
08/22/2022 06:00,"0"
08/22/2022 06:15,"0"
08/22/2022 06:30,"0"
08/22/2022 06:45,"7.3705"
08/22/2022 07:00,"30.2066"
08/22/2022 07:15,"87.0442"
08/22/2022 07:30,"203.8961"
08/22/2022 07:45,"213.1683"
08/22/2022 08:00,"265.8002"
08/22/2022 08:15,"431.8549"
08/22/2022 08:30,"486.8527"
08/22/2022 08:45,"477.6924"
08/22/2022 09:00,"555.2112"
08/22/2022 09:15,"680.3674"
08/22/2022 09:30,"754.8279"
08/22/2022 09:45,"793.8352"
08/22/2022 10:00,"836.3112"
08/22/2022 10:15,"1092.083"
08/22/2022 10:30,"1424.2147"
08/22/2022 10:45,"1233.7839"
08/22/2022 11:00,"1334.9229"
08/22/2022 11:15,"1393.8856"
08/22/2022 11:30,"1595.8297"
08/22/2022 11:45,"1312.9734"
08/22/2022 12:00,"1406.1862"
08/22/2022 12:15,"1884.4844"
08/22/2022 12:30,"2317.3633"
08/22/2022 12:45,"1777.3545"
08/22/2022 13:00,"2416.0137"
08/22/2022 13:15,"2654.4658"
08/22/2022 13:30,"3339.1072"
08/22/2022 13:45,"2391.8999"
08/22/2022 14:00,"2042.9847"
08/22/2022 14:15,"2067.7188"
08/22/2022 14:30,"2600.3518"
08/22/2022 14:45,"2635.1414"
08/22/2022 15:00,"4136.1816"
08/22/2022 15:15,"3754.3379"
08/22/2022 15:30,"3775.6223"
08/22/2022 15:45,"1891.2183"
08/22/2022 16:00,"2857.248"
08/22/2022 16:15,"2947.7974"
08/22/2022 16:30,"999.8065"
08/22/2022 16:45,"4110.1362"
08/22/2022 17:00,"3005.8708"
08/22/2022 17:15,"1158.4923"
08/22/2022 17:30,"2643.311"
08/22/2022 17:45,"2095.5903"
08/22/2022 18:00,"1271.1571"
08/22/2022 18:15,"795.5263"
08/22/2022 18:30,"1420.7955"
08/22/2022 18:45,"1647.647"
08/22/2022 19:00,"693.4587"
08/22/2022 19:15,"1436.4089"
08/22/2022 19:30,"572.8848"
08/22/2022 19:45,"323.45"
08/22/2022 20:00,"151.6223"
08/22/2022 20:15,"2.0212"
08/22/2022 20:30,"0"
08/22/2022 20:45,"0"
08/22/2022 21:00,"0"
08/22/2022 21:15,"0"
08/22/2022 21:30,"0"
08/22/2022 21:45,"0"
08/22/2022 22:00,"0"
08/22/2022 22:15,"0"
08/22/2022 22:30,"0"
