Date,Temperature_Celsius(℃),Relative_Humidity(%)
"Mar. 7, 2023 13:32",4.1,83
"Mar. 7, 2023 13:33",4.1,83
"Mar. 7, 2023 13:34",4.1,83
"Mar. 7, 2023 13:35",4.2,83
"Mar. 7, 2023 13:36",4.2,83
"Mar. 7, 2023 13:37",4.2,83
"Mar. 7, 2023 13:38",4.2,83
"Mar. 7, 2023 13:39",4.2,83
"Mar. 7, 2023 13:40",4.2,82
"Mar. 7, 2023 13:41",4.2,82
"Mar. 7, 2023 13:42",4.3,82
"Mar. 7, 2023 13:43",4.3,82
"Mar. 7, 2023 13:44",4.3,81
"Mar. 7, 2023 13:45",4.3,80
"Mar. 7, 2023 13:46",4.4,80
"Mar. 7, 2023 13:47",4.4,80
"Mar. 7, 2023 13:48",4.4,79
"Mar. 7, 2023 13:49",4.4,78
"Mar. 7, 2023 13:50",4.4,78
"Mar. 7, 2023 13:51",4.4,78
"Mar. 7, 2023 13:52",4.4,78
"Mar. 7, 2023 13:53",4.4,78
"Mar. 7, 2023 13:54",4.4,78
"Mar. 7, 2023 13:55",4.4,78
"Mar. 7, 2023 13:56",4.4,78
"Mar. 7, 2023 13:57",4.4,78
"Mar. 7, 2023 13:58",4.4,77
"Mar. 7, 2023 13:59",4.4,76
"Mar. 7, 2023 14:00",4.4,76
"Mar. 7, 2023 14:01",4.4,76
"Mar. 7, 2023 14:02",4.4,76
"Mar. 7, 2023 14:03",4.4,77
"Mar. 7, 2023 14:04",4.4,77
"Mar. 7, 2023 14:05",4.4,77
"Mar. 7, 2023 14:06",4.4,77
"Mar. 7, 2023 14:07",4.5,77
"Mar. 7, 2023 14:08",4.5,77
"Mar. 7, 2023 14:09",4.5,77
"Mar. 7, 2023 14:10",4.5,77
"Mar. 7, 2023 14:11",4.5,77
"Mar. 7, 2023 14:12",4.5,76
"Mar. 7, 2023 14:13",4.5,76
"Mar. 7, 2023 14:14",4.5,74
"Mar. 7, 2023 14:15",4.5,73
"Mar. 7, 2023 14:16",4.5,72
"Mar. 7, 2023 14:17",4.5,71
"Mar. 7, 2023 14:18",4.5,71
"Mar. 7, 2023 14:19",4.5,71
"Mar. 7, 2023 14:20",4.6,71
"Mar. 7, 2023 14:21",4.6,71
"Mar. 7, 2023 14:22",4.6,69
"Mar. 7, 2023 14:23",4.7,68
"Mar. 7, 2023 14:24",4.8,68
"Mar. 7, 2023 14:25",4.8,68
"Mar. 7, 2023 14:26",4.9,68
"Mar. 7, 2023 14:27",4.9,68
"Mar. 7, 2023 14:28",4.9,68
"Mar. 7, 2023 14:29",5.0,68
"Mar. 7, 2023 14:30",5.0,67
"Mar. 7, 2023 14:31",5.0,66
"Mar. 7, 2023 14:32",5.1,66
"Mar. 7, 2023 14:33",5.1,66
"Mar. 7, 2023 14:34",5.1,64
"Mar. 7, 2023 14:35",5.1,63
"Mar. 7, 2023 14:36",5.1,64
"Mar. 7, 2023 14:37",5.1,66
"Mar. 7, 2023 14:38",5.1,66
"Mar. 7, 2023 14:39",5.1,66
"Mar. 7, 2023 14:40",5.1,67
"Mar. 7, 2023 14:41",5.1,68
"Mar. 7, 2023 14:42",5.1,69
"Mar. 7, 2023 14:43",5.1,71
"Mar. 7, 2023 14:44",5.1,72
"Mar. 7, 2023 14:45",5.1,74
"Mar. 7, 2023 14:46",5.1,74
"Mar. 7, 2023 14:47",5.1,74
"Mar. 7, 2023 14:48",5.1,74
"Mar. 7, 2023 14:49",5.1,75
"Mar. 7, 2023 14:50",5.1,75
"Mar. 7, 2023 14:51",5.1,75
"Mar. 7, 2023 14:52",5.1,75
"Mar. 7, 2023 14:53",5.1,76
"Mar. 7, 2023 14:54",5.1,76
"Mar. 7, 2023 14:55",5.0,76
"Mar. 7, 2023 14:56",4.9,75
"Mar. 7, 2023 14:57",4.9,75
"Mar. 7, 2023 14:58",4.9,75
"Mar. 7, 2023 14:59",4.9,75
"Mar. 7, 2023 15:00",4.9,75
"Mar. 7, 2023 15:01",4.8,75
"Mar. 7, 2023 15:02",4.8,75
"Mar. 7, 2023 15:03",4.8,75
"Mar. 7, 2023 15:04",4.8,75
"Mar. 7, 2023 15:05",4.7,76
"Mar. 7, 2023 15:06",4.7,76
"Mar. 7, 2023 15:07",4.7,76
"Mar. 7, 2023 15:08",4.7,76
"Mar. 7, 2023 15:09",4.7,76
"Mar. 7, 2023 15:10",4.7,75
"Mar. 7, 2023 15:11",4.7,75
"Mar. 7, 2023 15:12",4.7,75
"Mar. 7, 2023 15:13",4.7,75
"Mar. 7, 2023 15:14",4.7,75
"Mar. 7, 2023 15:15",4.7,75
"Mar. 7, 2023 15:16",4.7,75
"Mar. 7, 2023 15:17",4.7,75
"Mar. 7, 2023 15:18",4.7,75
"Mar. 7, 2023 15:19",4.7,75
"Mar. 7, 2023 15:20",4.7,75
"Mar. 7, 2023 15:21",4.7,75
"Mar. 7, 2023 15:22",4.7,75
"Mar. 7, 2023 15:23",4.7,75
"Mar. 7, 2023 15:24",4.7,75
"Mar. 7, 2023 15:25",4.7,75
"Mar. 7, 2023 15:26",4.6,75
"Mar. 7, 2023 15:27",4.6,75
"Mar. 7, 2023 15:28",4.6,75
"Mar. 7, 2023 15:29",4.6,76
"Mar. 7, 2023 15:30",4.6,76
"Mar. 7, 2023 15:31",4.6,76
"Mar. 7, 2023 15:32",4.6,76
"Mar. 7, 2023 15:33",4.6,76
"Mar. 7, 2023 15:34",4.6,75
"Mar. 7, 2023 15:35",4.6,75
"Mar. 7, 2023 15:36",4.6,75
"Mar. 7, 2023 15:37",4.5,75
"Mar. 7, 2023 15:38",4.5,75
"Mar. 7, 2023 15:39",4.5,76
"Mar. 7, 2023 15:40",4.5,76
"Mar. 7, 2023 15:41",4.5,76
"Mar. 7, 2023 15:42",4.5,76
