station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
EHGG,2022-01-01 00:25,51.80,50.00,93.55,240.00,11.00,0.00,30.12,,3.73,,BKN,OVC,,,500.00,600.00,,,,,,,,,,51.80,EHGG 010025Z AUTO 24011KT 6000 BKN005 OVC006 11/10 Q1020,
EHGG,2022-01-01 00:55,51.80,50.00,93.55,240.00,12.00,0.00,30.12,,3.73,,SCT,BKN,BKN,,600.00,700.00,900.00,,,,,,,,,51.80,EHGG 010055Z AUTO 24012KT 210V270 6000 SCT006 BKN007 BKN009 11/10 Q1020,
EHGG,2022-01-01 01:25,50.00,48.20,93.50,230.00,9.00,0.00,30.12,,3.73,,SCT,BKN,BKN,,600.00,700.00,900.00,,,,,,,,,50.00,EHGG 010125Z AUTO 23009KT 6000 SCT006 BKN007 BKN009 10/09 Q1020,
EHGG,2022-01-01 01:55,50.00,50.00,100.00,230.00,13.00,0.00,30.12,,2.86,,OVC,,,,500.00,,,,BR,,,,,,,50.00,EHGG 010155Z AUTO 23013KT 4600 BR OVC005 10/10 Q1020,
EHGG,2022-01-01 02:25,51.80,50.00,93.55,240.00,11.00,0.00,30.12,,2.80,,BKN,OVC,,,600.00,700.00,,,BR,,,,,,,51.80,EHGG 010225Z AUTO 24011KT 4500 BR BKN006 OVC007 11/10 Q1020,
EHGG,2022-01-01 02:55,51.80,50.00,93.55,240.00,11.00,0.00,30.12,,2.92,,OVC,,,,600.00,,,,BR,,,,,,,51.80,EHGG 010255Z AUTO 24011KT 200V270 4700 BR OVC006 11/10 Q1020,
EHGG,2022-01-01 03:25,51.80,50.00,93.55,240.00,11.00,0.00,30.15,,2.86,,OVC,,,,600.00,,,,BR,,,,,,,51.80,EHGG 010325Z AUTO 24011KT 4600 BR OVC006 11/10 Q1021,
EHGG,2022-01-01 03:55,51.80,50.00,93.55,240.00,10.00,0.00,30.15,,2.80,,OVC,,,,600.00,,,,BR,,,,,,,51.80,EHGG 010355Z AUTO 24010KT 210V270 4500 BR OVC006 11/10 Q1021,
EHGG,2022-01-01 04:25,51.80,50.00,93.55,240.00,11.00,0.00,30.15,,2.61,,OVC,,,,600.00,,,,BR,,,,,,,51.80,EHGG 010425Z AUTO 24011KT 210V270 4200 BR OVC006 11/10 Q1021,
EHGG,2022-01-01 04:55,51.80,50.00,93.55,230.00,9.00,0.00,30.12,,2.17,,BKN,OVC,,,600.00,700.00,,,BR,,,,,,,51.80,EHGG 010455Z AUTO 23009KT 200V260 3500 BR BKN006 OVC007 11/10 Q1020,
